ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,NEWS593,SYSTEM1.TXT,0.19355,0.19355,0.19355,1

ROUGE-2+StopWordRemoval,NEWS593,SYSTEM1.TXT,0.03571,0.03571,0.03571,1

ROUGE-L+StopWordRemoval,NEWS351,SYSTEM1.TXT,0.48000,0.40000,0.43636,1

ROUGE-1+StopWordRemoval,NEWS351,SYSTEM1.TXT,0.55556,0.44118,0.49180,1

ROUGE-2+StopWordRemoval,NEWS351,SYSTEM1.TXT,0.37500,0.29032,0.32727,1

ROUGE-L+StopWordRemoval,NEWS110,SYSTEM1.TXT,0.17391,0.09091,0.11940,1

ROUGE-1+StopWordRemoval,NEWS110,SYSTEM1.TXT,0.16000,0.08000,0.10667,1

ROUGE-2+StopWordRemoval,NEWS110,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS594,SYSTEM1.TXT,0.29412,0.15152,0.20000,1

ROUGE-1+StopWordRemoval,NEWS594,SYSTEM1.TXT,0.29412,0.12500,0.17544,1

ROUGE-2+StopWordRemoval,NEWS594,SYSTEM1.TXT,0.13333,0.05405,0.07692,1

ROUGE-L+StopWordRemoval,NEWS352,SYSTEM1.TXT,0.17647,0.14286,0.15789,1

ROUGE-1+StopWordRemoval,NEWS352,SYSTEM1.TXT,0.17647,0.12000,0.14286,1

ROUGE-2+StopWordRemoval,NEWS352,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS353,SYSTEM1.TXT,0.14286,0.11111,0.12500,1

ROUGE-1+StopWordRemoval,NEWS353,SYSTEM1.TXT,0.14286,0.10526,0.12121,1

ROUGE-2+StopWordRemoval,NEWS353,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS90,SYSTEM1.TXT,0.07692,0.05882,0.06667,1

ROUGE-1+StopWordRemoval,NEWS90,SYSTEM1.TXT,0.11111,0.07895,0.09231,1

ROUGE-2+StopWordRemoval,NEWS90,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,NEWS595,SYSTEM1.TXT,0.58824,0.22727,0.32787,1

ROUGE-1+StopWordRemoval,NEWS595,SYSTEM1.TXT,0.78261,0.30000,0.43373,1

